R_kf_x,L_kf_x,R_x,L_x,R_kf_v,L_kf_v,R_v,L_v,R_gamma,L_gamma,R_d_gamma,L_d_gamma,R_beta,L_beta,R_d_beta,L_d_beta,R_T_w,L_T_w,R_T_p,L_T_p,R_l,L_l
1.905723,1.905723,2.982052,4.923077,1.051014,1.051014,0.835655,0.000000,-1.040315,-1.040315,-0.935695,-0.935695,-0.282135,-0.413231,-1.023607,-0.946684,-20.566570,-78.927185,0.440448,-2.780237,0.346931,0.359109
1.916505,1.916505,2.990408,4.923077,1.095444,1.095444,0.835655,0.000000,-1.032491,-1.032491,-0.668314,-0.668314,-0.277403,-0.405785,-0.986990,-0.690293,-20.566570,-78.927185,0.440448,-2.780237,0.346920,0.359206
1.927670,1.927670,2.998765,4.923077,1.136259,1.136259,0.835655,0.000000,-1.027096,-1.027096,-0.285884,-0.285884,-0.275966,-0.400389,-0.692471,-0.285884,-20.566570,-78.927185,0.440448,-2.780237,0.347179,0.359206
1.938822,1.938822,3.007121,4.923077,1.065212,1.065212,0.835655,0.000000,-1.027231,-1.027231,-0.033416,-0.033416,-0.279483,-0.400719,-0.341101,-0.044404,-20.566570,-78.927185,0.440448,-2.780237,0.347392,0.359158
1.948230,1.948230,3.015478,4.923082,0.801544,0.801544,0.835655,0.000000,-1.018942,-1.018942,-2.124531,-2.124531,-0.270848,-0.392430,-2.069588,-2.080573,-20.566570,-78.927185,0.440448,-2.780237,0.347681,0.359158
1.954358,1.954358,3.023834,4.923087,0.495884,0.495884,0.835655,0.000000,-0.997393,-0.997393,-2.505895,-2.505895,-0.244136,-0.370123,-2.000403,-2.439959,-20.566570,-78.927185,0.440448,-2.780237,0.348534,0.359060
1.959535,1.959535,3.032191,4.923087,0.593238,0.593238,0.835655,0.000000,-0.980552,-0.980552,-0.816386,-0.816386,-0.220314,-0.348149,-0.146064,-0.135068,-20.566570,-78.927185,0.440448,-2.780237,0.348560,0.358912
1.965648,1.965648,3.040548,4.923087,0.587436,0.587436,0.835655,-0.008113,-0.977560,-0.977560,-0.377497,-0.377497,-0.211800,-0.335790,0.160961,0.534594,-20.566570,-78.927185,0.440448,-2.780237,0.347116,0.358868
1.971915,1.971915,3.048904,4.923025,0.712383,0.712383,0.835655,-0.004507,-0.975323,-0.975323,0.115721,0.115721,-0.205132,-0.262060,0.500333,0.665168,-20.566570,-78.927185,0.440448,-2.780237,0.346081,0.341329
1.979451,1.979451,3.057261,4.923002,0.740648,0.740648,0.835655,-0.000901,-0.978578,-0.978578,0.099742,0.099742,-0.206727,-0.264170,0.253584,0.154686,-20.566570,-78.927185,0.440448,-2.780237,0.345414,0.341024
1.986979,1.986979,3.065617,4.923004,0.782979,0.782979,0.835655,0.000000,-0.979002,-0.979002,0.157266,0.157266,-0.206934,-0.265154,0.168257,0.091334,-20.566570,-78.927185,0.440448,-2.780237,0.344968,0.341079
1.994766,1.994766,3.073974,4.923017,0.754712,0.754712,0.835655,0.001352,-0.979733,-0.979733,-0.109050,-0.109050,-0.207676,-0.265886,-0.131028,-0.098060,-20.566570,-78.927185,0.440448,-2.780237,0.345166,0.341079
2.001960,2.001960,3.082330,4.923035,0.679414,0.679414,0.835655,0.001352,-0.976732,-0.976732,-0.478697,-0.478697,-0.204117,-0.262884,-0.401776,-0.478697,-20.566570,-78.927185,0.440448,-2.780237,0.345315,0.341079
2.007907,2.007907,3.090687,4.923054,0.532975,0.532975,0.835655,0.002254,-0.968895,-0.968895,-0.906933,-0.906933,-0.194549,-0.253338,-0.764082,-0.632216,-20.566570,-78.927185,0.440448,-2.780237,0.345768,0.341531
2.013113,2.013113,3.099044,4.923088,0.507244,0.507244,0.835655,0.004057,-0.961948,-0.961948,-0.365779,-0.365779,-0.186437,-0.243681,-0.255889,-0.080066,-20.566570,-78.927185,0.440448,-2.780237,0.345772,0.342049
2.017945,2.017945,3.107400,4.923127,0.478133,0.478133,0.835655,0.003155,-0.957294,-0.957294,-0.358322,-0.358322,-0.178507,-0.235093,0.004312,0.092218,-20.566570,-78.927185,0.440448,-2.780237,0.344928,0.341578
2.023279,2.023279,3.115757,4.923116,0.587542,0.587542,0.835655,-0.004507,-0.953970,-0.953970,0.090154,0.090154,-0.171007,-0.228104,0.474766,0.419824,-20.566570,-78.927185,0.440448,-2.780237,0.343816,0.340927
2.029317,2.029317,3.124113,4.923087,0.605980,0.605980,0.835655,0.000000,-0.952632,-0.952632,0.000672,0.000672,-0.166447,-0.226037,0.286380,0.033640,-20.566570,-78.927185,0.440448,-2.780237,0.343054,0.340715
2.035388,2.035388,3.132470,4.923110,0.600546,0.600546,0.835655,0.004057,-0.950106,-0.950106,-0.107985,-0.107985,-0.162214,-0.223691,0.056850,-0.118975,-20.566570,-78.927185,0.440448,-2.780237,0.342496,0.340769
2.041135,2.041135,3.140826,4.923141,0.556635,0.556635,0.835655,0.002254,-0.946267,-0.946267,-0.218772,-0.218772,-0.158375,-0.219664,-0.218772,-0.163828,-20.566570,-78.927185,0.440448,-2.780237,0.342496,0.340818
2.046525,2.046525,3.149183,4.923151,0.525840,0.525840,0.835655,-0.000901,-0.941862,-0.941862,-0.122898,-0.122898,-0.153960,-0.213369,-0.111908,0.096876,-20.566570,-78.927185,0.440448,-2.780237,0.342599,0.341116
2.051764,2.051764,3.157540,4.923151,0.529124,0.529124,0.835655,0.000000,-0.937280,-0.937280,-0.014242,-0.014242,-0.148029,-0.206118,0.084661,0.282455,-20.566570,-78.927185,0.440448,-2.780237,0.342249,0.341217
2.057192,2.057192,3.165896,4.923151,0.549448,0.549448,0.835655,0.000000,-0.932866,-0.932866,0.050740,0.050740,-0.142093,-0.198819,0.215572,0.325460,-20.566570,-78.927185,0.440448,-2.780237,0.341539,0.341379
2.068370,2.068370,3.182609,4.923151,0.562918,0.562918,0.835655,0.000000,-0.920388,-0.920388,0.107199,0.107199,-0.124643,-0.184281,0.326977,0.184121,-20.566570,-78.927185,0.440448,-2.780237,0.340630,0.341723
2.073980,2.073980,3.190966,4.923151,0.557127,0.557127,0.835655,0.000000,-0.916123,-0.916123,0.105068,0.105068,-0.117121,-0.180016,0.379792,0.127046,-20.566570,-78.927185,0.440448,-2.780237,0.340688,0.341723
2.079525,2.079525,3.199322,4.923151,0.553298,0.553298,0.835655,0.000000,-0.912044,-0.912044,0.134896,0.134896,-0.109897,-0.175174,0.420600,0.233796,-20.566570,-78.927185,0.440448,-2.780237,0.340811,0.341823
2.085071,2.085071,3.207679,4.923151,0.556187,0.556187,0.835655,0.000000,-0.905467,-0.905467,0.130634,0.130634,-0.100247,-0.167058,0.416339,0.317446,-20.566570,-78.927185,0.440448,-2.780237,0.341121,0.341926
2.090664,2.090664,3.216036,4.923151,0.561282,0.561282,0.835655,0.000000,-0.897206,-0.897206,0.154070,0.154070,-0.088531,-0.156857,0.505708,0.351869,-20.566570,-78.927185,0.440448,-2.780237,0.341334,0.342137
2.096273,2.096273,3.224392,4.923151,0.558692,0.558692,0.835655,0.000000,-0.887602,-0.887602,0.130634,0.130634,-0.075102,-0.145694,0.515239,0.306460,-20.566570,-78.927185,0.440448,-2.780237,0.341535,0.342553
2.101852,2.101852,3.232749,4.923151,0.558228,0.558228,0.835655,0.000000,-0.878269,-0.878269,0.119982,0.119982,-0.061946,-0.134887,0.482608,0.317781,-20.566570,-78.927185,0.440448,-2.780237,0.341639,0.342947
2.107399,2.107399,3.241105,4.923151,0.547552,0.547552,0.835655,0.000000,-0.869310,-0.869310,0.117851,0.117851,-0.053470,-0.124980,-0.014011,0.183784,-20.566570,-78.927185,0.440448,-2.780237,0.340799,0.343195
2.112689,2.112689,3.249462,4.923151,0.512258,0.512258,0.835655,0.000000,-0.862733,-0.862733,0.237161,0.237161,-0.051256,-0.118596,-0.147443,0.226171,-20.566570,-78.927185,0.440448,-2.780237,0.339229,0.343144
2.117639,2.117639,3.257818,4.923151,0.482375,0.482375,0.835655,0.000000,-0.862358,-0.862358,0.474715,0.474715,-0.053363,-0.118221,0.221978,0.474715,-20.566570,-78.927185,0.440448,-2.780237,0.338564,0.343144
2.122458,2.122458,3.266175,4.923151,0.485445,0.485445,0.835655,0.000000,-0.865799,-0.865799,0.610003,0.610003,-0.056313,-0.121858,0.664947,0.599014,-20.566570,-78.927185,0.440448,-2.780237,0.337777,0.343193
2.127488,2.127488,3.274532,4.923151,0.514194,0.514194,0.835655,0.000000,-0.871090,-0.871090,0.736770,0.736770,-0.058052,-0.127149,1.055447,0.736770,-20.566570,-78.927185,0.440448,-2.780237,0.336987,0.343193
2.133170,2.133170,3.282888,4.923151,0.597958,0.597958,0.835655,0.000000,-0.876531,-0.876531,1.006282,1.006282,-0.060718,-0.132788,1.248035,0.995294,-20.566570,-78.927185,0.440448,-2.780237,0.335989,0.343242
2.139432,2.139432,3.291245,4.923151,0.652356,0.652356,0.835655,0.000000,-0.880148,-0.880148,0.721856,0.721856,-0.064116,-0.136595,0.732838,0.721856,-20.566570,-78.927185,0.440448,-2.780237,0.334712,0.343293
2.146044,2.146044,3.299601,4.923151,0.663706,0.663706,0.835655,0.000000,-0.880530,-0.880530,0.394820,0.394820,-0.065828,-0.136976,0.251963,0.405810,-20.566570,-78.927185,0.440448,-2.780237,0.333316,0.343293
2.152719,2.152719,3.307958,4.923151,0.673050,0.673050,0.835655,0.000000,-0.876105,-0.876105,0.269119,0.269119,-0.063241,-0.130826,0.071319,0.521858,-20.566570,-78.927185,0.440448,-2.780237,0.331573,0.343645
2.159560,2.159560,3.316314,4.923151,0.685293,0.685293,0.835655,0.000000,-0.867983,-0.867983,0.151940,0.151940,-0.057704,-0.119079,-0.133777,0.536553,-20.566570,-78.927185,0.440448,-2.780237,0.329510,0.344603
2.166384,2.166384,3.324671,4.923146,0.685188,0.685188,0.835655,-0.000901,-0.856297,-0.856297,0.034761,0.034761,-0.049627,-0.104717,-0.316896,0.309477,-20.566570,-78.927185,0.440448,-2.780237,0.327159,0.345207
2.173238,2.173238,3.333028,4.923163,0.676652,0.676652,0.835655,0.003155,-0.845715,-0.845715,-0.208120,-0.208120,-0.041801,-0.091387,-0.515820,0.077588,-20.566570,-78.927185,0.440448,-2.780237,0.325140,0.345526
2.179509,2.179509,3.341384,4.923176,0.589612,0.589612,0.835655,-0.001803,-0.839226,-0.839226,-0.250730,-0.250730,-0.037007,-0.080426,-0.382604,0.221785,-20.566570,-78.927185,0.440448,-2.780237,0.324141,0.345199
2.185644,2.185644,3.349741,4.923137,0.648586,0.648586,0.835655,-0.001803,-0.834331,-0.834331,-0.232621,-0.232621,-0.031233,-0.072102,-0.144714,0.130010,-20.566570,-78.927185,0.440448,-2.780237,0.323856,0.345001
2.192170,2.192170,3.358097,4.923150,0.656971,0.656971,0.835655,0.003155,-0.826713,-0.826713,-0.324233,-0.324233,-0.022417,-0.061965,-0.247320,-0.093473,-20.566570,-78.927185,0.440448,-2.780237,0.323554,0.345458
2.198994,2.198994,3.366454,4.923189,0.698714,0.698714,0.835655,0.003155,-0.820309,-0.820309,-0.231555,-0.231555,-0.015224,-0.054760,-0.165624,-0.198590,-20.566570,-78.927185,0.440448,-2.780237,0.323457,0.345768
2.206177,2.206177,3.374810,4.923197,0.741225,0.741225,0.835655,0.000000,-0.816463,-0.816463,-0.133551,-0.133551,-0.010569,-0.051311,-0.078608,-0.177507,-20.566570,-78.927185,0.440448,-2.780237,0.323364,0.345764
2.213835,2.213835,3.383167,4.923195,0.780925,0.780925,0.835655,0.000000,-0.815302,-0.815302,-0.008915,-0.008915,-0.007641,-0.050151,0.155919,0.002075,-20.566570,-78.927185,0.440448,-2.780237,0.323748,0.345764
2.221878,2.221878,3.391524,4.923195,0.823711,0.823711,0.835655,0.000000,-0.815990,-0.815990,0.098677,0.098677,-0.006649,-0.050839,0.263512,0.109666,-20.566570,-78.927185,0.440448,-2.780237,0.323789,0.345764
2.230302,2.230302,3.399880,4.923195,0.856513,0.856513,0.835655,0.000000,-0.818302,-0.818302,0.266988,0.266988,-0.008230,-0.053342,0.299956,0.277978,-20.566570,-78.927185,0.440448,-2.780237,0.323674,0.345814
2.238937,2.238937,3.408237,4.923195,0.866033,0.866033,0.835655,0.000000,-0.821484,-0.821484,0.416125,0.416125,-0.011763,-0.056721,0.383159,0.427115,-20.566570,-78.927185,0.440448,-2.780237,0.323788,0.345762
2.247553,2.247553,3.416593,4.923195,0.853030,0.853030,0.835655,0.000000,-0.824583,-0.824583,0.409734,0.409734,-0.014511,-0.059820,0.431712,0.420724,-20.566570,-78.927185,0.440448,-2.780237,0.323674,0.345762
2.255934,2.255934,3.424950,4.923193,0.825516,0.825516,0.835655,-0.000901,-0.826161,-0.826161,0.336230,0.336230,-0.015741,-0.061399,0.369196,0.347220,-20.566570,-78.927185,0.440448,-2.780237,0.323559,0.345762
2.264065,2.264065,3.433306,4.923197,0.802801,0.802801,0.835655,0.001352,-0.825928,-0.825928,0.285098,0.285098,-0.013318,-0.060583,0.493888,0.373009,-20.566570,-78.927185,0.440448,-2.780237,0.323319,0.345614
2.271998,2.271998,3.441663,4.923212,0.787336,0.787336,0.835655,0.002254,-0.825196,-0.825196,0.274445,0.274445,-0.009898,-0.057749,0.505209,0.505212,-20.566570,-78.927185,0.440448,-2.780237,0.323430,0.345064
2.279715,2.279715,3.450020,4.923212,0.756255,0.756255,0.835655,-0.001803,-0.826795,-0.826795,0.232900,0.232900,-0.008478,-0.057673,0.562560,0.408726,-20.566570,-78.927185,0.440448,-2.780237,0.323849,0.344601
2.287060,2.287060,3.458376,4.923209,0.716337,0.716337,0.835655,0.001352,-0.828556,-0.828556,0.110394,0.110394,-0.005570,-0.058664,0.538954,0.209297,-20.566570,-78.927185,0.440448,-2.780237,0.324292,0.344401
2.294029,2.294029,3.466733,4.923219,0.683293,0.683293,0.835655,0.000000,-0.830378,-0.830378,0.078436,0.078436,-0.002735,-0.058556,0.561927,0.309207,-20.566570,-78.927185,0.440448,-2.780237,0.324528,0.344408
2.300735,2.300735,3.475089,4.923219,0.659503,0.659503,0.835655,0.000000,-0.832821,-0.832821,0.057131,0.057131,-0.000010,-0.056440,0.551603,0.551627,-20.566570,-78.927185,0.440448,-2.780237,0.324688,0.344908
2.307279,2.307279,3.483446,4.923219,0.653691,0.653691,0.835655,0.000000,-0.833390,-0.833390,0.085893,0.085893,0.004096,-0.053172,0.536420,0.470501,-20.566570,-78.927185,0.440448,-2.780237,0.324822,0.345011
2.313810,2.313810,3.491802,4.923219,0.652080,0.652080,0.835655,0.000000,-0.834556,-0.834556,0.111460,0.111460,0.007037,-0.051711,0.507041,0.331237,-20.566570,-78.927185,0.440448,-2.780237,0.324904,0.344900
2.320345,2.320345,3.500159,4.923219,0.655314,0.655314,0.835655,0.000000,-0.835857,-0.835857,0.164723,0.164723,0.008648,-0.051335,0.505350,0.351531,-20.566570,-78.927185,0.440448,-2.780237,0.324968,0.345042
2.326898,2.326898,3.508516,4.923219,0.653376,0.653376,0.835655,0.000000,-0.836628,-0.836628,0.182832,0.182832,0.011209,-0.050974,0.534434,0.314696,-20.566570,-78.927185,0.440448,-2.780237,0.324940,0.345241
2.333344,2.333344,3.516872,4.923223,0.638737,0.638737,0.835655,0.000000,-0.837115,-0.837115,0.121047,0.121047,0.012476,-0.050117,0.263867,0.252910,-20.566570,-78.927185,0.440448,-2.780237,0.324476,0.345293
2.339690,2.339690,3.525229,4.923223,0.632452,0.632452,0.835655,0.000000,-0.837843,-0.837843,0.101872,0.101872,0.011894,-0.048901,0.189749,0.277690,-20.566570,-78.927185,0.440448,-2.780237,0.323988,0.345500
2.345996,2.345996,3.533585,4.923223,0.628671,0.628671,0.835655,0.000000,-0.838228,-0.838228,0.099742,0.099742,0.012213,-0.048077,0.143692,0.253585,-20.566570,-78.927185,0.440448,-2.780237,0.324078,0.345817
2.352262,2.352262,3.541942,4.923229,0.623607,0.623607,0.835655,0.002254,-0.837924,-0.837924,0.057131,0.057131,0.013453,-0.046313,0.210925,0.232953,-20.566570,-78.927185,0.440448,-2.780237,0.323809,0.346200
2.358461,2.358461,3.550298,4.923235,0.618688,0.618688,0.835655,0.000000,-0.836668,-0.836668,0.032630,0.032630,0.015403,-0.043746,0.131448,0.197462,-20.566570,-78.927185,0.440448,-2.780237,0.323154,0.346547
2.364625,2.364625,3.558655,4.923235,0.614256,0.614256,0.835655,0.000000,-0.834882,-0.834882,0.000672,0.000672,0.017058,-0.040427,-0.021316,0.165503,-20.566570,-78.927185,0.440448,-2.780237,0.323012,0.346949
2.370769,2.370769,3.567012,4.923235,0.616020,0.616020,0.835655,0.000000,-0.833510,-0.833510,0.011325,0.011325,0.018594,-0.037664,0.033293,0.143189,-20.566570,-78.927185,0.440448,-2.780237,0.323057,0.347310
2.376957,2.376957,3.575368,4.923235,0.618439,0.618439,0.835655,0.000000,-0.833114,-0.833114,0.008129,0.008129,0.019640,-0.035745,0.074028,0.172957,-20.566570,-78.927185,0.440448,-2.780237,0.322920,0.347607
2.383117,2.383117,3.583725,4.923235,0.614772,0.614772,0.835655,0.000000,-0.831714,-0.831714,-0.043004,-0.043004,0.021940,-0.032869,-0.010059,0.110838,-20.566570,-78.927185,0.440448,-2.780237,0.322746,0.347993
2.389271,2.389271,3.592081,4.923235,0.615331,0.615331,0.835655,0.000000,-0.829371,-0.829371,-0.073896,-0.073896,0.024283,-0.029191,-0.084883,0.079947,-20.566570,-78.927185,0.440448,-2.780237,0.322746,0.348343
2.395399,2.395399,3.600438,4.923235,0.610439,0.610439,0.835655,0.000000,-0.827332,-0.827332,-0.102658,-0.102658,0.026881,-0.025798,-0.058729,0.029207,-20.566570,-78.927185,0.440448,-2.780237,0.322690,0.348697
2.401480,2.401480,3.608794,4.923235,0.606228,0.606228,0.835655,0.000000,-0.825202,-0.825202,-0.146334,-0.146334,0.027937,-0.022456,-0.025568,-0.014468,-20.566570,-78.927185,0.440448,-2.780237,0.321755,0.349010
2.407547,2.407547,3.617151,4.923235,0.608060,0.608060,0.835655,0.000000,-0.821974,-0.821974,-0.141008,-0.141008,0.026470,-0.018670,0.045523,-0.064086,-20.566570,-78.927185,0.440448,-2.780237,0.319915,0.349055
2.413616,2.413616,3.625508,4.923235,0.607154,0.607154,0.835655,0.000000,-0.818969,-0.818969,-0.121833,-0.121833,0.180100,-0.014534,0.038034,0.010033,-20.566570,-78.927185,0.440448,-2.780237,0.359595,0.349150
2.419692,2.419692,3.633864,4.923235,0.604943,0.604943,0.835655,0.000000,-0.816387,-0.816387,-0.100528,-0.100528,0.052957,-0.011369,0.075445,-0.045582,-20.566570,-78.927185,0.440448,-2.780237,0.324874,0.349103
2.425728,2.425728,3.642221,4.923235,0.604585,0.604585,0.835655,0.000000,-0.813359,-0.813359,-0.057917,-0.057917,0.057263,-0.007773,0.019006,-0.013962,-20.566570,-78.927185,0.440448,-2.780237,0.325227,0.349152
2.431768,2.431768,3.650577,4.923235,0.604403,0.604403,0.835655,0.000000,-0.810171,-0.810171,0.000672,0.000672,0.061158,-0.003848,0.000661,0.110561,-20.566570,-78.927185,0.440448,-2.780237,0.325423,0.349244
2.437862,2.437862,3.658934,4.923235,0.612750,0.612750,0.835655,0.000000,-0.807764,-0.807764,0.043283,0.043283,0.063565,-0.001066,0.021266,0.065260,-20.566570,-78.927185,0.440448,-2.780237,0.325423,0.349342
2.444007,2.444007,3.667290,4.923235,0.615608,0.615608,0.835655,0.000000,-0.805740,-0.805740,0.063523,0.063523,0.065307,0.001143,0.041530,0.118465,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.349390
2.450152,2.450152,3.675647,4.923235,0.612254,0.612254,0.835655,0.000000,-0.804522,-0.804522,0.068849,0.068849,0.066525,0.002931,0.057846,0.145769,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.349539
2.456248,2.456248,3.684004,4.923235,0.608506,0.608506,0.835655,0.000000,-0.804042,-0.804042,0.062458,0.062458,0.066581,0.003995,0.029473,0.117400,-20.566570,-78.927185,0.440448,-2.780237,0.325227,0.349692
2.462329,2.462329,3.692360,4.923235,0.606818,0.606818,0.835655,0.000000,-0.803764,-0.803764,0.081632,0.081632,0.066859,0.005256,0.059617,0.213499,-20.566570,-78.927185,0.440448,-2.780237,0.325227,0.349949
2.468380,2.468380,3.700717,4.923235,0.604577,0.604577,0.835655,0.000000,-0.803266,-0.803266,0.018782,0.018782,0.067356,0.006943,-0.003211,0.106695,-20.566570,-78.927185,0.440448,-2.780237,0.325227,0.350256
2.474408,2.474408,3.709073,4.923235,0.600831,0.600831,0.835655,0.000000,-0.802647,-0.802647,0.001737,0.001737,0.067975,0.008477,0.001726,0.100637,-20.566570,-78.927185,0.440448,-2.780237,0.325227,0.350491
2.480409,2.480409,3.717430,4.923235,0.599082,0.599082,0.835655,0.000000,-0.801767,-0.801767,-0.032351,-0.032351,0.068856,0.010472,-0.021348,0.099513,-20.566570,-78.927185,0.440448,-2.780237,0.325227,0.350778
2.486397,2.486397,3.725786,4.923235,0.598307,0.598307,0.835655,0.000000,-0.800740,-0.800740,-0.027025,-0.027025,0.070307,0.012430,-0.038028,0.104838,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.351019
2.492375,2.492375,3.734143,4.923235,0.598500,0.598500,0.835655,0.000000,-0.799573,-0.799573,-0.009980,-0.009980,0.071474,0.014373,-0.009992,0.055952,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.351220
2.498349,2.498349,3.742500,4.923235,0.596115,0.596115,0.835655,0.000000,-0.798233,-0.798233,-0.028090,-0.028090,0.072814,0.016695,-0.028101,0.081797,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.351474
2.504315,2.504315,3.750856,4.923235,0.595975,0.595975,0.835655,0.000000,-0.796927,-0.796927,0.018782,0.018782,0.074120,0.018989,0.018770,0.150649,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.351732
2.510257,2.510257,3.759213,4.923235,0.594231,0.594231,0.835655,0.000000,-0.795327,-0.795327,0.012390,0.012390,0.075721,0.021896,0.001387,0.111290,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.351969
2.516196,2.516196,3.767569,4.923235,0.592708,0.592708,0.835655,0.000000,-0.794128,-0.794128,0.005999,0.005999,0.076919,0.024206,-0.005005,0.115884,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.352253
2.522116,2.522116,3.775926,4.923235,0.591339,0.591339,0.835655,0.000000,-0.792951,-0.792951,-0.016372,-0.016372,0.078097,0.026508,-0.027375,0.104502,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.352542
2.528021,2.528021,3.784282,4.923235,0.589377,0.589377,0.835655,0.000000,-0.791609,-0.791609,-0.032351,-0.032351,0.079438,0.029005,-0.054344,0.110501,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.352839
2.533908,2.533908,3.792639,4.923235,0.588518,0.588518,0.835655,0.000000,-0.790156,-0.790156,-0.018503,-0.018503,0.080891,0.031252,-0.029506,0.069408,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.353043
2.539781,2.539781,3.800996,4.923235,0.586933,0.586933,0.835655,0.000000,-0.788334,-0.788334,-0.036612,-0.036612,0.082713,0.033868,-0.036624,0.029320,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.353248
2.545655,2.545655,3.809352,4.923235,0.586393,0.586393,0.835655,0.000000,-0.786418,-0.786418,-0.008915,-0.008915,0.084629,0.036722,-0.008927,0.133942,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.353393
2.551512,2.551512,3.817709,4.923235,0.586665,0.586665,0.835655,0.000000,-0.784579,-0.784579,-0.020633,-0.020633,0.086468,0.039468,-0.031636,0.067277,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.353529
2.557384,2.557384,3.826065,4.923235,0.586578,0.586578,0.835655,0.000000,-0.782845,-0.782845,0.007064,0.007064,0.088202,0.042128,-0.003940,0.138928,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.353666
2.563270,2.563270,3.834422,4.923235,0.591064,0.591064,0.835655,0.000000,-0.781771,-0.781771,0.020912,0.020912,0.089276,0.043954,0.009909,0.086843,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.353760
2.569182,2.569182,3.842778,4.923235,0.590414,0.590414,0.835655,0.000000,-0.780685,-0.780685,0.033695,0.033695,0.090362,0.046180,0.011679,0.198520,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.354050
2.575097,2.575097,3.851135,4.923235,0.591998,0.591998,0.835655,0.000000,-0.780103,-0.780103,0.029434,0.029434,0.090944,0.047929,0.018431,0.150308,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.354348
2.580996,2.580996,3.859492,4.923235,0.588628,0.588628,0.835655,0.000000,-0.779230,-0.779230,0.012390,0.012390,0.091393,0.049804,-0.009603,0.111289,-20.566570,-78.927185,0.440448,-2.780237,0.325227,0.354605
2.586871,2.586871,3.867848,4.923235,0.587018,0.587018,0.835655,0.000000,-0.778818,-0.778818,0.005999,0.005999,0.091805,0.051341,-0.005004,0.093909,-20.566570,-78.927185,0.440448,-2.780237,0.325227,0.354894
2.592740,2.592740,3.876205,4.923235,0.585808,0.585808,0.835655,0.000000,-0.778155,-0.778155,-0.034482,-0.034482,0.092892,0.052915,-0.045485,0.075405,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.355129
2.598603,2.598603,3.884561,4.923235,0.587168,0.587168,0.835655,0.000000,-0.777568,-0.777568,-0.029155,-0.029155,0.093479,0.053877,-0.029144,0.025788,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.355225
2.604459,2.604459,3.892918,4.923235,0.583751,0.583751,0.835655,0.000000,-0.776563,-0.776563,-0.027025,-0.027025,0.094484,0.055641,-0.027036,0.082861,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.355416
2.610297,2.610297,3.901274,4.923235,0.584487,0.584487,0.835655,0.000000,-0.775864,-0.775864,-0.029155,-0.029155,0.095466,0.056909,-0.018177,0.036777,-20.566570,-78.927185,0.440448,-2.780237,0.325423,0.355560
2.616119,2.616119,3.909631,4.923235,0.581235,0.581235,0.835655,0.000000,-0.774423,-0.774423,-0.038743,-0.038743,0.096624,0.059508,-0.049721,0.082131,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.355853
2.621957,2.621957,3.917988,4.923235,0.584430,0.584430,0.835655,0.000000,-0.773719,-0.773719,0.016651,0.016651,0.097328,0.061216,-0.005342,0.148513,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.356108
2.627789,2.627789,3.926344,4.923235,0.584188,0.584188,0.835655,0.000000,-0.772609,-0.772609,0.008129,0.008129,0.098438,0.063296,-0.002874,0.107027,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.356355
2.633613,2.633613,3.930801,4.923235,0.576936,0.576936,-0.054989,0.000000,-0.771992,-0.771992,0.010260,0.010260,0.099056,0.064994,-0.000744,0.109156,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.356631
2.639300,2.639300,3.930630,4.923235,0.561462,0.561462,0.012170,0.000000,-0.771260,-0.771260,0.016651,0.016651,0.099787,0.066853,-0.005365,0.148514,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.356920
2.644848,2.644848,3.930762,4.923235,0.548898,0.548898,0.009015,0.000000,-0.770806,-0.770806,0.031565,0.031565,0.101431,0.068447,0.009568,0.174418,-20.566570,-78.927185,0.440448,-2.780237,0.325781,0.357206
2.650255,2.650255,3.930863,4.923235,0.534940,0.534940,0.012170,0.000000,-0.770096,-0.770096,-0.001458,-0.001458,0.100951,0.069933,0.020535,0.086451,-20.566570,-78.927185,0.440448,-2.780237,0.325345,0.357401
