R_kf_x,L_kf_x,R_x,L_x,R_kf_v,L_kf_v,R_v,L_v,R_gamma,L_gamma,R_d_gamma,L_d_gamma,R_beta,L_beta,R_d_beta,L_d_beta,R_T_w,L_T_w,R_T_p,L_T_p,R_l,L_l
-8.618111,-8.618111,-0.318772,0.972398,-0.001881,-0.001881,0.000000,0.000000,-0.080919,-0.080919,-0.017437,-0.017437,-0.696064,-0.672923,-0.028427,-0.006447,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618130,-8.618130,-0.318772,0.972398,-0.001682,-0.001682,0.000000,0.000000,-0.080893,-0.080893,-0.003589,-0.003589,-0.696037,-0.672897,-0.014579,0.007401,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618149,-8.618149,-0.318772,0.972398,-0.001870,-0.001870,0.000000,0.000000,-0.080900,-0.080900,-0.005719,-0.005719,-0.696045,-0.672905,-0.027698,0.005271,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618168,-8.618168,-0.318772,0.972398,-0.001935,-0.001935,0.000000,0.000000,-0.080936,-0.080936,0.009194,0.009194,-0.696080,-0.672940,0.009194,0.020184,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618187,-8.618187,-0.318772,0.972398,-0.002255,-0.002255,0.000000,0.000000,-0.080992,-0.080992,0.005999,0.005999,-0.696137,-0.672996,0.005999,0.016989,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618206,-8.618206,-0.318772,0.972398,-0.002148,-0.002148,0.000000,0.000000,-0.080990,-0.080990,-0.006785,-0.006785,-0.696135,-0.672994,-0.028763,0.004205,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618225,-8.618225,-0.318772,0.972398,-0.002159,-0.002159,0.000000,0.000000,-0.080966,-0.080966,-0.013176,-0.013176,-0.696110,-0.672970,-0.024166,-0.002186,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618244,-8.618244,-0.318772,0.972398,-0.002129,-0.002129,0.000000,0.000000,-0.080940,-0.080940,-0.001458,-0.001458,-0.696084,-0.672944,-0.012448,0.009532,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618263,-8.618263,-0.318772,0.972398,-0.002123,-0.002123,0.000000,0.000000,-0.080948,-0.080948,-0.002524,-0.002524,-0.696093,-0.672952,-0.013514,0.008467,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618282,-8.618282,-0.318772,0.972398,-0.002112,-0.002112,0.000000,0.000000,-0.080998,-0.080998,-0.007850,-0.007850,-0.696143,-0.673003,-0.029828,0.003140,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618301,-8.618301,-0.318772,0.972398,-0.002193,-0.002193,0.000000,0.000000,-0.081036,-0.081036,-0.017437,-0.017437,-0.696180,-0.673040,-0.028427,-0.006447,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618320,-8.618320,-0.318772,0.972398,-0.002029,-0.002029,0.000000,0.000000,-0.081058,-0.081058,-0.015307,-0.015307,-0.696203,-0.673062,-0.026297,-0.004317,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618340,-8.618340,-0.318772,0.972398,-0.001922,-0.001922,0.000000,0.000000,-0.081012,-0.081012,-0.000393,-0.000393,-0.696157,-0.673016,-0.011383,0.010597,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618359,-8.618359,-0.318772,0.972398,-0.001904,-0.001904,0.000000,0.000000,-0.080989,-0.080989,-0.000393,-0.000393,-0.696134,-0.672994,-0.000393,0.010597,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618378,-8.618378,-0.318772,0.972398,-0.002127,-0.002127,0.000000,0.000000,-0.080988,-0.080988,0.007064,0.007064,-0.696133,-0.672992,-0.003926,0.018054,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618397,-8.618397,-0.318772,0.972398,-0.001999,-0.001999,0.000000,0.000000,-0.081008,-0.081008,-0.025959,-0.025959,-0.696153,-0.673012,-0.036949,-0.014969,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618416,-8.618416,-0.318772,0.972398,-0.001964,-0.001964,0.000000,0.000000,-0.081019,-0.081019,0.009194,0.009194,-0.696164,-0.673023,-0.001796,0.020184,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618435,-8.618435,-0.318772,0.972398,-0.001997,-0.001997,0.000000,0.000000,-0.081017,-0.081017,-0.000393,-0.000393,-0.696161,-0.673021,-0.011383,0.010597,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618454,-8.618454,-0.318772,0.972398,-0.002037,-0.002037,0.000000,0.000000,-0.081026,-0.081026,-0.012111,-0.012111,-0.696171,-0.673030,-0.023101,-0.001121,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618473,-8.618473,-0.318772,0.972398,-0.002011,-0.002011,0.000000,0.000000,-0.080958,-0.080958,0.012390,0.012390,-0.696103,-0.672962,0.001400,0.023380,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618492,-8.618492,-0.318772,0.972398,-0.001772,-0.001772,0.000000,0.000000,-0.080935,-0.080935,0.008129,0.008129,-0.696080,-0.672939,-0.002861,0.019119,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618511,-8.618511,-0.318772,0.972398,-0.001948,-0.001948,0.000000,0.000000,-0.080943,-0.080943,0.001737,0.001737,-0.696088,-0.672947,-0.009253,0.012728,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618530,-8.618530,-0.318772,0.972398,-0.001809,-0.001809,0.000000,0.000000,-0.080949,-0.080949,-0.017437,-0.017437,-0.696094,-0.672954,-0.017437,-0.006447,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618549,-8.618549,-0.318772,0.972398,-0.001929,-0.001929,0.000000,0.000000,-0.080932,-0.080932,0.002803,0.002803,-0.696077,-0.672936,0.002803,0.013793,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618568,-8.618568,-0.318772,0.972398,-0.002110,-0.002110,0.000000,0.000000,-0.080930,-0.080930,0.001737,0.001737,-0.696075,-0.672934,-0.009253,0.012728,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618587,-8.618587,-0.318772,0.972398,-0.002083,-0.002083,0.000000,0.000000,-0.080935,-0.080935,-0.009980,-0.009980,-0.696080,-0.672939,-0.020970,0.001010,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618607,-8.618607,-0.318772,0.972398,-0.002274,-0.002274,0.000000,0.000000,-0.080957,-0.080957,-0.005719,-0.005719,-0.696102,-0.672961,-0.016709,0.005271,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618626,-8.618626,-0.318772,0.972398,-0.002058,-0.002058,0.000000,0.000000,-0.080931,-0.080931,0.001737,0.001737,-0.696076,-0.672935,-0.009253,0.012728,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618645,-8.618645,-0.318772,0.972398,-0.002110,-0.002110,0.000000,0.000000,-0.080926,-0.080926,0.014521,0.014521,-0.696071,-0.672930,0.003531,0.025511,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618664,-8.618664,-0.318772,0.972398,-0.002263,-0.002263,0.000000,0.000000,-0.080948,-0.080948,-0.007850,-0.007850,-0.696093,-0.672952,-0.018840,0.003140,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618690,-8.618690,-0.318772,0.972398,-0.002583,-0.002583,0.000000,0.000000,-0.081003,-0.081003,-0.015307,-0.015307,-0.696148,-0.673008,-0.015307,-0.004317,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618718,-8.618718,-0.318772,0.972398,-0.002409,-0.002409,0.000000,0.000000,-0.081028,-0.081028,-0.006785,-0.006785,-0.696173,-0.673032,-0.028763,0.004205,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618740,-8.618740,-0.318772,0.972398,-0.002306,-0.002306,0.000000,0.000000,-0.081028,-0.081028,0.009194,0.009194,-0.696173,-0.673032,-0.001796,0.020184,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618759,-8.618759,-0.318772,0.972398,-0.002301,-0.002301,0.000000,0.000000,-0.080985,-0.080985,0.000672,0.000672,-0.696130,-0.672989,-0.010318,0.011662,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618779,-8.618779,-0.318772,0.972398,-0.002394,-0.002394,0.000000,0.000000,-0.081007,-0.081007,-0.005719,-0.005719,-0.696152,-0.673011,-0.016709,0.005271,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618808,-8.618808,-0.318772,0.972398,-0.002693,-0.002693,0.000000,0.000000,-0.081026,-0.081026,0.010260,0.010260,-0.696170,-0.673030,-0.000730,0.021250,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618836,-8.618836,-0.318772,0.972398,-0.002687,-0.002687,0.000000,0.000000,-0.081062,-0.081062,-0.014242,-0.014242,-0.696206,-0.673066,-0.025232,-0.003251,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618865,-8.618865,-0.318772,0.972398,-0.002811,-0.002811,0.000000,0.000000,-0.081096,-0.081096,-0.024894,-0.024894,-0.696241,-0.673101,-0.035884,-0.013904,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618894,-8.618894,-0.318772,0.972398,-0.002711,-0.002711,0.000000,0.000000,-0.081070,-0.081070,-0.007850,-0.007850,-0.696215,-0.673074,-0.018840,0.003140,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618922,-8.618922,-0.318772,0.972398,-0.002685,-0.002685,0.000000,0.000000,-0.081076,-0.081076,-0.014242,-0.014242,-0.696221,-0.673080,-0.025232,-0.003251,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618951,-8.618951,-0.318772,0.972398,-0.002631,-0.002631,0.000000,0.000000,-0.081094,-0.081094,0.010260,0.010260,-0.696238,-0.673098,-0.000730,0.021250,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.618979,-8.618979,-0.318772,0.972398,-0.002946,-0.002946,0.000000,0.000000,-0.081126,-0.081126,-0.015307,-0.015307,-0.696271,-0.673130,-0.026297,-0.004317,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619008,-8.619008,-0.318772,0.972398,-0.002632,-0.002632,0.000000,0.000000,-0.081114,-0.081114,-0.024894,-0.024894,-0.696259,-0.673118,-0.035884,-0.013904,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619037,-8.619037,-0.318772,0.972398,-0.002775,-0.002775,0.000000,0.000000,-0.081154,-0.081154,-0.008915,-0.008915,-0.696299,-0.673158,-0.019905,0.002075,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619065,-8.619065,-0.318772,0.972398,-0.002657,-0.002657,0.000000,0.000000,-0.081156,-0.081156,0.000672,0.000672,-0.696301,-0.673161,-0.010318,0.011662,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619094,-8.619094,-0.318772,0.972398,-0.002577,-0.002577,0.000000,0.000000,-0.081158,-0.081158,-0.000393,-0.000393,-0.696302,-0.673162,-0.011383,0.010597,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619120,-8.619120,-0.318772,0.972398,-0.002258,-0.002258,0.000000,0.000000,-0.081150,-0.081150,0.009194,0.009194,-0.696295,-0.673154,-0.001796,0.020184,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619139,-8.619139,-0.318772,0.972398,-0.002238,-0.002238,0.000000,0.000000,-0.081117,-0.081117,0.005999,0.005999,-0.696262,-0.673121,-0.004992,0.016989,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619163,-8.619163,-0.318772,0.972398,-0.002448,-0.002448,0.000000,0.000000,-0.081177,-0.081177,-0.006785,-0.006785,-0.696322,-0.673181,-0.017775,0.004205,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619191,-8.619191,-0.318772,0.972398,-0.002444,-0.002444,0.000000,0.000000,-0.081198,-0.081198,0.003868,0.003868,-0.696343,-0.673202,-0.007122,0.014858,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619215,-8.619215,-0.318772,0.972398,-0.002302,-0.002302,0.000000,0.000000,-0.081200,-0.081200,-0.012111,-0.012111,-0.696345,-0.673204,-0.023101,-0.001121,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619234,-8.619234,-0.318772,0.972398,-0.002274,-0.002274,0.000000,0.000000,-0.081191,-0.081191,-0.009980,-0.009980,-0.696336,-0.673195,-0.031959,0.001010,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619253,-8.619253,-0.318772,0.972398,-0.002191,-0.002191,0.000000,0.000000,-0.081162,-0.081162,-0.008915,-0.008915,-0.696307,-0.673166,-0.019905,0.002075,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619272,-8.619272,-0.318772,0.972398,-0.002042,-0.002042,0.000000,0.000000,-0.081189,-0.081189,-0.008915,-0.008915,-0.696334,-0.673193,-0.019905,0.002075,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619291,-8.619291,-0.318772,0.972398,-0.002039,-0.002039,0.000000,0.000000,-0.081161,-0.081161,-0.006785,-0.006785,-0.696306,-0.673165,-0.017775,0.004205,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619310,-8.619310,-0.318772,0.972398,-0.002038,-0.002038,0.000000,0.000000,-0.081150,-0.081150,-0.000393,-0.000393,-0.696295,-0.673154,-0.011383,0.010597,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619329,-8.619329,-0.318772,0.972398,-0.002007,-0.002007,0.000000,0.000000,-0.081169,-0.081169,-0.001458,-0.001458,-0.696314,-0.673173,-0.012448,0.009532,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619349,-8.619349,-0.318772,0.972398,-0.001930,-0.001930,0.000000,0.000000,-0.081204,-0.081204,-0.022764,-0.022764,-0.696349,-0.673208,-0.044742,-0.011774,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619368,-8.619368,-0.318772,0.972398,-0.001870,-0.001870,0.000000,0.000000,-0.081166,-0.081166,-0.000393,-0.000393,-0.696311,-0.673170,-0.022371,0.010597,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619387,-8.619387,-0.318772,0.972398,-0.001775,-0.001775,0.000000,0.000000,-0.081186,-0.081186,-0.008915,-0.008915,-0.696331,-0.673190,-0.019905,0.002075,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619406,-8.619406,-0.318772,0.972398,-0.001639,-0.001639,0.000000,0.000000,-0.081215,-0.081215,-0.004654,-0.004654,-0.696360,-0.673220,-0.026632,0.006336,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
