R_l,L_l,R_dl,L_dl,R_alpha,L_alpha,R_d_alpha,L_d_alpha,R_F,L_F,R_T,L_T,R_theta1,L_theta1,R_theta2,L_theta2,R_d_theta1,L_d_theta1,R_d_theta2,L_d_theta2
0.353561,0.369932,-0.016901,-0.000000,-0.539663,0.950565,0.120882,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.595645,-12.322823,12.799513,-10.908823,0.054947,-0.010990,0.186813,-0.010990
0.353561,0.369932,-0.002817,-0.000000,-0.538902,0.950565,0.065939,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.594882,-12.322823,12.800276,-10.908823,0.054947,-0.010990,0.076923,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.538523,0.950565,0.054953,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.594501,-12.322823,12.800657,-10.908823,0.054947,-0.010990,0.054947,-0.010990
0.353561,0.369932,0.002811,-0.000000,-0.537382,0.950565,0.153874,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.593356,-12.322823,12.801802,-10.908823,0.164837,-0.010990,0.142857,-0.010990
0.353560,0.369932,-0.002820,-0.000000,-0.536620,0.950565,0.087927,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.592593,-12.322823,12.802565,-10.908823,0.076923,-0.010990,0.098900,-0.010990
0.353560,0.369932,0.002813,-0.000000,-0.535858,0.950565,0.065951,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.591830,-12.322823,12.803328,-10.908823,0.076923,-0.010990,0.054947,-0.010990
0.353609,0.369932,0.005626,-0.000000,-0.535286,0.950565,0.098927,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.591067,-12.322823,12.803709,-10.908823,0.120880,-0.010990,0.076923,-0.010990
0.353561,0.369932,-0.011273,-0.000000,-0.533952,0.950565,0.120902,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.589923,-12.322823,12.805235,-10.908823,0.076923,-0.010990,0.164837,-0.010990
0.353561,0.369932,-0.000004,-0.000000,-0.533570,0.950565,0.076941,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.589541,-12.322823,12.805616,-10.908823,0.076923,-0.010990,0.076923,-0.010990
0.353513,0.369932,-0.000007,-0.000000,-0.532234,0.950565,0.120907,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.588397,-12.322823,12.807142,-10.908823,0.120880,-0.010990,0.120880,-0.010990
0.353611,0.369932,0.008443,-0.000000,-0.530703,0.950565,0.131895,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.586490,-12.322823,12.808287,-10.908823,0.164837,-0.010990,0.098900,-0.010990
0.353611,0.369932,-0.000004,-0.000000,-0.529936,0.950565,0.120895,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.585727,-12.322823,12.809050,-10.908823,0.120880,-0.010990,0.120880,-0.010990
0.353660,0.369932,-0.000002,-0.000000,-0.527836,0.950565,0.164844,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.583438,-12.322823,12.810958,-10.908823,0.164837,-0.010990,0.164837,-0.010990
0.353658,0.369932,-0.000003,-0.000000,-0.526314,0.950565,0.186829,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.581912,-12.322823,12.812484,-10.908823,0.186813,-0.010990,0.186813,-0.010990
0.353512,0.369932,-0.011271,-0.000000,-0.524985,0.950565,0.098913,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.581149,-12.322823,12.814391,-10.908823,0.054947,-0.010990,0.142857,-0.010990
0.353463,0.369932,-0.002827,-0.000000,-0.523652,0.950565,0.197841,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.580005,-12.322823,12.815917,-10.908823,0.186813,-0.010990,0.208790,-0.010990
0.353561,0.369932,0.008444,-0.000000,-0.522508,0.950565,0.087938,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.578479,-12.322823,12.816680,-10.908823,0.120880,-0.010990,0.054947,-0.010990
0.353512,0.369932,-0.000003,-0.000000,-0.521935,0.950565,0.054959,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.578097,-12.322823,12.817443,-10.908823,0.054947,-0.010990,0.054947,-0.010990
0.353610,0.369932,0.011257,-0.000000,-0.521172,0.950565,0.120912,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576953,-12.322823,12.817824,-10.908823,0.164837,-0.010990,0.076923,-0.010990
0.353513,0.369932,-0.002823,-0.000000,-0.520026,0.950565,0.109911,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576190,-12.322823,12.819350,-10.908823,0.098900,-0.010990,0.120880,-0.010990
0.353513,0.369932,-0.000003,-0.000000,-0.519644,0.950565,0.054958,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.054947,-0.010990,0.054947,-0.010990
0.353562,0.369932,0.002815,-0.000000,-0.519453,0.950565,0.043967,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575427,-12.322823,12.819732,-10.908823,0.054947,-0.010990,0.032967,-0.010990
0.353562,0.369932,-0.000001,-0.000000,-0.519453,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575427,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,0.000001,-0.000000,-0.519835,0.950565,-0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,-0.010990,-0.010990,-0.010990,-0.010990
0.353513,0.369932,-0.002818,-0.000000,-0.519644,0.950565,0.021981,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.032967,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.519644,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.002818,-0.000000,-0.519644,0.950565,0.021981,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819732,-10.908823,0.010990,-0.010990,0.032967,-0.010990
0.353561,0.369932,-0.002817,-0.000000,-0.519835,0.950565,-0.000001,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,-0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.002817,-0.000000,-0.519835,0.950565,0.021981,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.032967,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,0.002817,-0.000000,-0.519835,0.950565,0.000001,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,-0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.002817,-0.000000,-0.519835,0.950565,0.021981,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.032967,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,0.002817,-0.000000,-0.519835,0.950565,0.000001,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,-0.010990,-0.010990
0.353561,0.369932,-0.002817,-0.000000,-0.519835,0.950565,0.021981,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.032967,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.002817,-0.000000,-0.519835,0.950565,-0.000001,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,-0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.519835,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.575809,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.000001,-0.000000,-0.520026,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576190,-12.322823,12.819350,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353513,0.369932,-0.002817,-0.000000,-0.520026,0.950565,-0.000002,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576190,-12.322823,12.819350,-10.908823,-0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.520217,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576190,-12.322823,12.818969,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.520217,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576190,-12.322823,12.818969,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,0.002815,-0.000000,-0.520217,0.950565,0.021985,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576190,-12.322823,12.818969,-10.908823,0.032967,-0.010990,0.010990,-0.010990
0.353561,0.369932,0.002817,-0.000000,-0.520217,0.950565,0.000002,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576190,-12.322823,12.818969,-10.908823,0.010990,-0.010990,-0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.520217,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576190,-12.322823,12.818969,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353561,0.369932,-0.000001,-0.000000,-0.520217,0.950565,0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576190,-12.322823,12.818969,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353610,0.369932,0.000001,-0.000000,-0.520408,0.950565,-0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576190,-12.322823,12.818587,-10.908823,-0.010990,-0.010990,-0.010990,-0.010990
0.353561,0.369932,0.002817,-0.000000,-0.520600,0.950565,-0.021982,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576571,-12.322823,12.818587,-10.908823,-0.010990,-0.010990,-0.032967,-0.010990
0.353610,0.369932,0.002816,-0.000000,-0.520790,0.950565,0.000002,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576571,-12.322823,12.818206,-10.908823,0.010990,-0.010990,-0.010990,-0.010990
0.353610,0.369932,0.000001,-0.000000,-0.520790,0.950565,-0.010992,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576571,-12.322823,12.818206,-10.908823,-0.010990,-0.010990,-0.010990,-0.010990
0.353658,0.369932,0.005633,-0.000000,-0.521362,0.950565,-0.032972,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.576953,-12.322823,12.817443,-10.908823,-0.010990,-0.010990,-0.054947,-0.010990
0.353853,0.369932,0.019702,-0.000000,-0.522506,0.950565,-0.131883,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.577334,-12.322823,12.815536,-10.908823,-0.054947,-0.010990,-0.208790,-0.010990
0.353902,0.369932,0.005633,-0.000000,-0.524221,0.950565,-0.186838,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.578860,-12.322823,12.813628,-10.908823,-0.164837,-0.010990,-0.208790,-0.010990
