R_kf_x,L_kf_x,R_x,L_x,R_kf_v,L_kf_v,R_v,L_v,R_kf_w,L_kf_w,a,w
-0.521357,-0.521357,17.455709,-19.697216,0.000995,0.000995,0.000000,0.000000,0.002962,0.002962,0.003912,0.003563
-0.521347,-0.521347,17.455709,-19.697216,0.000957,0.000957,0.000000,0.000000,-0.015356,-0.015356,0.029526,-0.022003
-0.521338,-0.521338,17.455709,-19.697216,0.001033,0.001033,0.000000,0.000000,0.000656,0.000656,0.015093,-0.004959
-0.521328,-0.521328,17.455709,-19.697216,0.000999,0.000999,0.000000,0.000000,0.003353,0.003353,0.039831,0.005694
-0.521317,-0.521317,17.455709,-19.697216,0.001123,0.001123,0.000000,0.000000,-0.006721,-0.006721,-0.053101,-0.008155
-0.521304,-0.521304,17.455709,-19.697216,0.001344,0.001344,0.000000,0.000000,0.000588,0.000588,-0.045488,0.000367
-0.521291,-0.521291,17.455709,-19.697216,0.001316,0.001316,0.000000,0.000000,-0.003797,-0.003797,0.047241,-0.008155
-0.521277,-0.521277,17.455709,-19.697216,0.001370,0.001370,0.000000,0.000000,0.002035,0.002035,-0.053209,-0.000698
-0.521266,-0.521266,17.455709,-19.697216,0.001076,0.001076,0.000000,0.000000,-0.000036,-0.000036,-0.003127,0.000367
-0.521255,-0.521255,17.455709,-19.697216,0.001067,0.001067,0.000000,0.000000,-0.002589,-0.002589,-0.011722,-0.007090
-0.521245,-0.521245,17.455709,-19.697216,0.001028,0.001028,0.000000,0.000000,0.014570,0.014570,-0.054517,0.022738
-0.521234,-0.521234,17.455709,-19.697216,0.001193,0.001193,0.000000,0.000000,-0.008997,-0.008997,0.034828,-0.015612
-0.521222,-0.521222,17.455709,-19.697216,0.001142,0.001142,0.000000,0.000000,-0.003234,-0.003234,0.043815,-0.002828
-0.521211,-0.521211,17.455709,-19.697216,0.001110,0.001110,0.000000,0.000000,0.017873,0.017873,-0.014856,0.021673
-0.521200,-0.521200,17.455709,-19.697216,0.001194,0.001194,0.000000,0.000000,-0.003035,-0.003035,0.025488,0.003563
-0.521188,-0.521188,17.455709,-19.697216,0.001107,0.001107,0.000000,0.000000,0.003941,0.003941,-0.004547,0.003563
-0.521177,-0.521177,17.455709,-19.697216,0.001105,0.001105,0.000000,0.000000,0.002157,0.002157,-0.002917,0.004628
-0.521165,-0.521165,17.455709,-19.697216,0.001149,0.001149,0.000000,0.000000,-0.003504,-0.003504,-0.058338,-0.006024
-0.521155,-0.521155,17.455709,-19.697216,0.001014,0.001014,0.000000,0.000000,-0.021156,-0.021156,-0.002173,-0.028395
-0.521146,-0.521146,17.455709,-19.697216,0.000789,0.000789,0.000000,0.000000,0.008032,0.008032,0.036911,0.008889
-0.521139,-0.521139,17.455709,-19.697216,0.000741,0.000741,0.000000,0.000000,0.008188,0.008188,0.031749,0.006759
-0.521130,-0.521130,17.455709,-19.697216,0.000934,0.000934,0.000000,0.000000,-0.008739,-0.008739,0.008319,-0.007090
-0.521120,-0.521120,17.455709,-19.697216,0.001116,0.001116,0.000000,0.000000,-0.009511,-0.009511,0.049452,-0.014546
-0.521109,-0.521109,17.455709,-19.697216,0.001086,0.001086,0.000000,0.000000,-0.003380,-0.003380,-0.034334,-0.000698
-0.521098,-0.521098,17.455709,-19.697216,0.000971,0.000971,0.000000,0.000000,-0.013360,-0.013360,-0.005709,-0.019873
-0.521089,-0.521089,17.455709,-19.697216,0.001083,0.001083,0.000000,0.000000,-0.005835,-0.005835,0.013532,-0.006024
-0.521077,-0.521077,17.455709,-19.697216,0.001196,0.001196,0.000000,0.000000,0.000606,0.000606,0.036924,-0.000698
-0.521066,-0.521066,17.455709,-19.697216,0.001139,0.001139,0.000000,0.000000,-0.012931,-0.012931,-0.017972,-0.013481
-0.521054,-0.521054,17.455709,-19.697216,0.001293,0.001293,0.000000,0.000000,0.004685,0.004685,-0.058919,0.004628
-0.521041,-0.521041,17.455709,-19.697216,0.001345,0.001345,0.000000,0.000000,0.014611,0.014611,0.033296,0.017412
-0.521026,-0.521026,17.455709,-19.697216,0.001425,0.001425,0.000000,0.000000,-0.000102,-0.000102,0.029993,0.002498
-0.521012,-0.521012,17.455709,-19.697216,0.001314,0.001314,0.000000,0.000000,0.001846,0.001846,-0.059356,0.005694
-0.520999,-0.520999,17.455709,-19.697216,0.001380,0.001380,0.000000,0.000000,0.001682,0.001682,-0.030227,-0.000698
-0.520985,-0.520985,17.455709,-19.697216,0.001472,0.001472,0.000000,0.000000,0.012294,0.012294,0.052202,0.019542
-0.520969,-0.520969,17.455709,-19.697216,0.001608,0.001608,0.000000,0.000000,0.005012,0.005012,-0.002049,0.002498
-0.520952,-0.520952,17.455709,-19.697216,0.001748,0.001748,0.000000,0.000000,-0.017143,-0.017143,0.005160,-0.019873
-0.520933,-0.520933,17.455709,-19.697216,0.001968,0.001968,0.000000,0.000000,0.003278,0.003278,-0.034305,0.009955
-0.520913,-0.520913,17.455709,-19.697216,0.002010,0.002010,0.000000,0.000000,-0.007851,-0.007851,-0.014458,-0.012416
-0.520892,-0.520892,17.455709,-19.697216,0.002052,0.002052,0.000000,0.000000,0.003054,0.003054,-0.000450,-0.001763
-0.520871,-0.520871,17.455709,-19.697216,0.002126,0.002126,0.000000,0.000000,-0.007717,-0.007717,0.022513,-0.007090
-0.520850,-0.520850,17.455709,-19.697216,0.002087,0.002087,0.000000,0.000000,-0.017659,-0.017659,-0.010781,-0.026264
-0.520829,-0.520829,17.455709,-19.697216,0.002026,0.002026,0.000000,0.000000,-0.007827,-0.007827,0.039354,-0.008155
-0.520809,-0.520809,17.455709,-19.697216,0.002065,0.002065,0.000000,0.000000,0.010596,0.010596,0.014261,0.009955
-0.520788,-0.520788,17.455709,-19.697216,0.002004,0.002004,0.000000,0.000000,0.000658,0.000658,-0.024981,-0.002828
-0.520768,-0.520768,17.455709,-19.697216,0.001884,0.001884,0.000000,0.000000,0.006861,0.006861,-0.014012,0.007824
-0.520750,-0.520750,17.455709,-19.697216,0.001739,0.001739,0.000000,0.000000,-0.003510,-0.003510,0.002184,-0.007090
