v,I,P,PR,PL,TR,TL,TRR,TRL,WR,WL,BR,BL,total,total_bias
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,-0.001063,-0.019406,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.680000,0.150000,3.552000,2.000000,2.000000,0.000000,0.000000,-0.017545,-0.019406,0.000000,0.000000,1.552000,1.552000,4.000000,-0.448000
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,-0.016216,-0.039078,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,0.000266,-0.010102,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,-0.001063,0.000266,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,0.000266,-0.029774,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.689999,0.160000,3.790400,2.000000,2.000000,0.000000,0.000000,-0.017545,-0.010102,0.000000,0.000000,1.790400,1.790400,4.000000,-0.209600
23.689999,0.160000,3.790400,2.000000,2.000000,0.000000,0.000000,0.000266,0.009304,0.000000,0.000000,1.790400,1.790400,4.000000,-0.209600
23.689999,0.160000,3.790400,2.000000,2.000000,0.000000,0.000000,0.000266,0.019672,0.000000,0.000000,1.790400,1.790400,4.000000,-0.209600
23.689999,0.160000,3.790400,2.000000,2.000000,0.000000,0.000000,-0.001063,-0.019406,0.000000,0.000000,1.790400,1.790400,4.000000,-0.209600
23.689999,0.160000,3.790400,2.000000,2.000000,0.000000,0.000000,-0.016216,0.009304,0.000000,0.000000,1.790400,1.790400,4.000000,-0.209600
23.689999,0.160000,3.790400,2.000000,2.000000,0.000000,0.000000,0.016216,0.009304,0.000000,0.000000,1.790400,1.790400,4.000000,-0.209600
23.689999,0.160000,3.790400,2.000000,2.000000,0.000000,0.000000,-0.016216,0.019672,0.000000,0.000000,1.790400,1.790400,4.000000,-0.209600
23.689999,0.160000,3.790400,2.000000,2.000000,0.000000,0.000000,-0.001063,0.009304,0.000000,0.000000,1.790400,1.790400,4.000000,-0.209600
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,0.015153,0.009304,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,-0.001063,-0.009039,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,-0.003456,0.019672,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
23.680000,0.160000,3.788800,2.000000,2.000000,0.000000,0.000000,0.000266,-0.039078,0.000000,0.000000,1.788800,1.788800,4.000000,-0.211200
23.670000,0.170000,4.023900,2.000000,2.000000,0.000000,0.000000,0.001329,0.000266,0.000000,0.000000,2.023900,2.023900,4.000000,0.023900
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,-0.017545,-0.019406,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,0.001329,0.019672,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,-0.016216,-0.019406,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,-0.016216,0.028977,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,-0.017545,-0.019406,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,0.000266,-0.019406,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,0.000266,0.019672,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,-0.016216,0.000266,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.670000,0.170000,4.023900,2.000000,2.000000,0.000000,0.000000,-0.017545,0.028977,0.000000,0.000000,2.023900,2.023900,4.000000,0.023900
23.639999,0.160000,3.782400,2.000000,2.000000,0.000000,0.000000,-0.014887,0.000266,0.000000,0.000000,1.782400,1.782400,4.000000,-0.217600
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,0.001329,-0.010102,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,-0.016216,0.009304,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,-0.017545,-0.019406,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.639999,0.150000,3.546000,2.000000,2.000000,0.000000,0.000000,0.000266,0.009304,0.000000,0.000000,1.546000,1.546000,4.000000,-0.454000
23.639999,0.150000,3.546000,2.000000,2.000000,0.000000,0.000000,0.000266,0.000266,0.000000,0.000000,1.546000,1.546000,4.000000,-0.454000
23.639999,0.150000,3.546000,2.000000,2.000000,0.000000,0.000000,-0.016216,-0.009039,0.000000,0.000000,1.546000,1.546000,4.000000,-0.454000
23.639999,0.150000,3.546000,2.000000,2.000000,0.000000,0.000000,0.000266,0.009304,0.000000,0.000000,1.546000,1.546000,4.000000,-0.454000
23.639999,0.150000,3.546000,2.000000,2.000000,0.000000,0.000000,0.000266,-0.010102,0.000000,0.000000,1.546000,1.546000,4.000000,-0.454000
